,name,connectors,formatted_address,address_components,latitude,longitude,place_link,phone_number,rating,review_count
47,BMW Charging Station,"[{'type': 'CCS', 'total': 1, 'available': None, 'kw': 50, 'speed': 'Fast'}]","Ring, Street Number 1, Raipur, Chhattisgarh 492099","{'district': None, 'street_address': 'Ring, Street Number 1', 'city': 'Raipur', 'zipcode': '492099', 'state': 'Chhattisgarh', 'country': 'IN'}",21.241752299999998,81.5805913,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28de3ff2fc39dd:0xfc346a2bed876c51,+18883336118,,0
48,Tata Power Charging Station,"[{'type': 'CCS', 'total': 2, 'available': None, 'kw': 60, 'speed': 'Fast'}]","35/1, Amravati Rd, beside Aryodaya Honda Showroom, Kachimet, Nagpur, Maharashtra 440023","{'district': 'Kachimet', 'street_address': '35/1, Amravati Rd, beside Aryodaya Honda Showroom', 'city': 'Nagpur', 'zipcode': '440023', 'state': 'Maharashtra', 'country': 'IN'}",21.1522477,79.0223075,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4c0262b176725:0x84fc3e5dce020662,,2.3,3
49,BPCL Charging Station,"[{'type': 'CCS', 'total': 2, 'available': 2, 'kw': 60, 'speed': 'Fast'}]","XWHM+VP8, hingana, Gumgaon, Maharashtra 441110","{'district': 'hingana', 'street_address': 'XWHM+VP8', 'city': 'Gumgaon', 'zipcode': '441110', 'state': 'Maharashtra', 'country': 'IN'}",20.9796692,78.9343201,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd496d3d4d35837:0x7187c9936590e3ca,,4.2,5
50,Ather Charging Station,"[{'type': 'LECCS', 'total': 2, 'available': None, 'kw': 1, 'speed': 'Slow'}]","Shop No . G 1-5, Ashoka millenium, Plaza, Ring Road No. 1, Priyadarshini Nagar Colony, New Rajendra Nagar, Raipur, Tikrapara, Chhattisgarh 492001","{'district': 'Priyadarshini Nagar Colony, New Rajendra Nagar', 'street_address': 'Shop No . G 1-5, Ashoka millenium, Plaza, Ring Road No. 1', 'city': 'Raipur, Tikrapara', 'zipcode': '492001', 'state': 'Chhattisgarh', 'country': 'IN'}",21.225600999999997,81.6560523,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd036fb56f0b:0x2af8fcd768c0806a,,3.8,10
51,BPCL Charging Station,"[{'type': 'CCS', 'total': 2, 'available': 0, 'kw': 60, 'speed': 'Fast'}, {'type': 'CCS', 'total': 1, 'available': 0, 'kw': 30, 'speed': 'Medium'}]","PW6G+896, At Rampur post Khandala tha Samudrapur dist W, Maharashtra 442301","{'district': None, 'street_address': 'PW6G+896, At Rampur post Khandala tha Samudrapur dist W', 'city': None, 'zipcode': '442301', 'state': 'Maharashtra', 'country': 'IN'}",20.710792599999998,78.9258909,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd36221d2a17a69:0x5915f1ee7031193b,,4.0,4
52,Ather Grid Charging Station,"[{'type': 'LECCS', 'total': 1, 'available': None, 'kw': 1, 'speed': 'Slow'}]","Nukkad's Bihan Cafe, VIP Rd, Chhattisgarh 492012","{'district': None, 'street_address': ""Nukkad's Bihan Cafe, VIP Rd"", 'city': None, 'zipcode': '492012', 'state': 'Chhattisgarh', 'country': 'IN'}",21.2113481,81.6996757,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28c3ccf12fbc73:0x4d862a771de77237,,3.0,1
53,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 0, 'kw': 30, 'speed': 'Medium'}]","3457+43P, Nagpur, Maharashtra 440037","{'district': None, 'street_address': '3457+43P', 'city': 'Nagpur', 'zipcode': '440037', 'state': 'Maharashtra', 'country': 'IN'}",21.057827,79.112704,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4b9347cff11cb:0x6c46e5304fc77d0f,,3.0,2
54,Ather Grid Charging Station,[],"The Food Garage, SHOP No. 12 JAI SHADARAM MARKET DHAMTARI ROAD, NH30, Karkhana, Raipur, Chhattisgarh 492015","{'district': None, 'street_address': 'The Food Garage, SHOP No. 12 JAI SHADARAM MARKET DHAMTARI ROAD, NH30, Karkhana', 'city': 'Raipur, Boria Kal', 'zipcode': '492015', 'state': 'Chhattisgarh', 'country': 'IN'}",21.188915299999998,81.70176289999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28c346b3a2d6a1:0xc1f7e14c20c05261,,2.4,7
55,Ather Grid Charging Station,"[{'type': 'LECCS', 'total': 1, 'available': None, 'kw': 1, 'speed': 'Slow'}]","Gr Flr, Ralas Enclave Commercial Complex, near Gayatri Hospital, Rohinipuram, Amanaka, Dangania, Raipur, Chhattisgarh 492001","{'district': 'Rohinipuram, Amanaka', 'street_address': 'Gr Flr, Ralas Enclave Commercial Complex, near Gayatri Hospital', 'city': 'Dangania, Raipur', 'zipcode': '492001', 'state': 'Chhattisgarh', 'country': 'IN'}",21.2404001,81.6029695,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28de7567d1ee63:0xd63d8df8bccc815d,,3.0,2
56,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 0, 'kw': 30, 'speed': 'Medium'}]","JJ85+94M, Wardha, Maharashtra 442001","{'district': None, 'street_address': 'JJ85+94M', 'city': 'Wardha', 'zipcode': '442001', 'state': 'Maharashtra', 'country': 'IN'}",20.615955,78.607805,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd383d4450f1bab:0x772965f0e4d3735a,,3.0,2
57,Ather Grid Charging Station,"[{'type': 'LECCS', 'total': 2, 'available': 2, 'kw': 1, 'speed': 'Slow'}]","7M86+3PF, beside Mowa Overbridge, Dubey Colony, Mowa, Raipur, Chhattisgarh 492001","{'district': 'Dubey Colony, Mowa', 'street_address': '7M86+3PF, beside Mowa Overbridge', 'city': 'Raipur', 'zipcode': '492001', 'state': 'Chhattisgarh', 'country': 'IN'}",21.265179999999997,81.66179,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd63b1c8da37:0xdb70802a724e100b,,5.0,2
58,Ather Charging Station,[],"Block No. 94, Ather Space, EC Location: Atherspace , Shop No.2, Ground Floor, Plot No. 11/5, Jaistambh Chowk, beside Hotel Mayura, Raipur, Chhattisgarh 492001","{'district': 'Moudhapara', 'street_address': 'Block No. 94, Ather Space, EC Location: Atherspace , Shop No.2, Ground Floor, Plot No. 11/5, Jaistambh Chowk, beside Hotel Mayura', 'city': 'Raipur', 'zipcode': '492001', 'state': 'Chhattisgarh', 'country': 'IN'}",21.244000399999997,81.6347188,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd8dd6f3bfaf:0x3b296a93e90fe1a9,,3.7,3
59,Hindustan Petroleum Corporation Limited Charging Station,"[{'type': 'CCS', 'total': 2, 'available': 2, 'kw': 30, 'speed': 'Medium'}]","JWMG+6F3, Jamb, Maharashtra 442301","{'district': None, 'street_address': 'JWMG+6F3', 'city': 'Jamb', 'zipcode': '442301', 'state': 'Maharashtra', 'country': 'IN'}",20.633007,78.9261867,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd364024b8133c9:0x91eaf9177ddb71f8,,1.0,1
60,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 1, 'kw': 30, 'speed': 'Medium'}]","3323+RFJ, Khapri, Achalpur, Maharashtra 441108","{'district': None, 'street_address': '3323+RFJ', 'city': 'Khapri, Achalpur', 'zipcode': '441108', 'state': 'Maharashtra', 'country': 'IN'}",21.0520931,79.0536491,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4be5cd1da7d49:0x733c7d15fa60815b,,4.5,2
61,Ather Grid Charging Station,[],"Lalten caf茅, Great Eastern Rd, near Anupam Garden, Doongaji Colony, Raipur, Chhattisgarh 492010","{'district': 'Doongaji Colony', 'street_address': 'Lalten caf茅, Great Eastern Rd, near Anupam Garden', 'city': 'Raipur', 'zipcode': '492010', 'state': 'Chhattisgarh', 'country': 'IN'}",21.2444126,81.607608,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd3c1f9fbae7:0x20b41779542b4ad6,,2.4,8
62,Ather Grid Charging Station,"[{'type': 'LECCS', 'total': 1, 'available': 1, 'kw': 1, 'speed': 'Slow'}]","near Sindi gurudwara, Nahar Para, Station Road, Moudhapara, Raipur, Chhattisgarh 492009","{'district': 'Nahar Para, Station Road, Moudhapara', 'street_address': 'near Sindi gurudwara', 'city': 'Raipur', 'zipcode': '492009', 'state': 'Chhattisgarh', 'country': 'IN'}",21.255468,81.633305,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd8e2a1d7e03:0x90f741f0d94a2a1c,,1.0,1
63,Statiq Charging Station,[],"Haldiram's, Bypass, Raipur - Bilaspur Expy, near Jio-bp Fuel Station, Dharsiwa, Raipur, Chhattisgarh 493221","{'district': None, 'street_address': ""Haldiram's, Bypass, Raipur - Bilaspur Expy, near Jio-bp Fuel Station"", 'city': 'Dharsiwa, Raipur', 'zipcode': '493221', 'state': 'Chhattisgarh', 'country': 'IN'}",21.407989999999998,81.6773218,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28e5c211a1be99:0xbe205d957ca5b45f,,5.0,4
64,Adani Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 1, 'kw': 30, 'speed': 'Medium'}, {'type': 'Wall socket', 'total': 1, 'available': 1, 'kw': 3, 'speed': 'Slow'}]","The Pride Hotel, Wardha Rd, New Manish Nagar, Somalwada, Nagpur, Maharashtra 440025","{'district': 'New Manish Nagar, Somalwada', 'street_address': 'The Pride Hotel, Wardha Rd', 'city': 'Nagpur', 'zipcode': '440025', 'state': 'Maharashtra', 'country': 'IN'}",21.0871656,79.0645067,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4bf0829e01cbf:0xa96cb1915e35c2ef,,,0
65,Tata Power Charging Station,[],"Nukkad Tea Cafe, 75, Jalvihar Colony Rd, Civil Lines, Raipur, Chhattisgarh 492001","{'district': 'Civil Lines', 'street_address': 'Nukkad Tea Cafe, 75, Jalvihar Colony Rd', 'city': 'Raipur', 'zipcode': '492001', 'state': 'Chhattisgarh', 'country': 'IN'}",21.2404095,81.6577801,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28dd0d929afb5f:0x11bd33906eae3d7f,,4.0,5
66,Hindustan Petroleum Corporation Limited Charging Station,"[{'type': 'CCS', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}]","4VQJ+RWR, Chinchbhuwan, Maharashtra 440023","{'district': None, 'street_address': '4VQJ+RWR', 'city': 'Chinchbhuwan', 'zipcode': '440023', 'state': 'Maharashtra', 'country': 'IN'}",21.139624599999998,78.8822801,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4ed1d97866f27:0x8e7d977add332974,,5.0,1
67,BPCL Charging Station,"[{'type': 'CCS', 'total': 1, 'available': 0, 'kw': 30, 'speed': 'Medium'}]","RM5J+2XM, Seloo, Achalpur, Maharashtra 442104","{'district': None, 'street_address': 'RM5J+2XM', 'city': 'Seloo, Achalpur', 'zipcode': '442104', 'state': 'Maharashtra', 'country': 'IN'}",20.8075995,78.6824151,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd480ca2d23de75:0x1f3fca5a85f54843,,2.3,3
68,Electric Vehicle Charging Station,[],"MMR College Rd, in front of CHAMPA COLLEGE, near BUS STAND, Champa, Chhattisgarh 495671","{'district': None, 'street_address': 'MMR College Rd, in front of CHAMPA COLLEGE, near BUS STAND', 'city': 'Champa', 'zipcode': '495671', 'state': 'Chhattisgarh', 'country': 'IN'}",22.046612099999997,82.6492805,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a27bd712c4bf01b:0x2fdd148796896979,,,0
69,Tata Power Charging Station,"[{'type': 'CCS', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}]","NH 07, Plot no-X-273, Nagpur, Butibori, Maharashtra 441122","{'district': None, 'street_address': 'NH 07, Plot no-X-273', 'city': 'Nagpur, Butibori', 'zipcode': '441122', 'state': 'Maharashtra', 'country': 'IN'}",20.933363,79.005252,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd497f729eb3f7f:0x8737ad6d3d621197,,5.0,1
70,Tata Power Charging Station,"[{'type': 'CHAdeMO', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}, {'type': 'CCS', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}]","Dongargaon, WARDHA ROAD, PARSODI, NH-7, Mancherial - Chandrapur - Nagpur Rd, Nagpur, 441108","{'district': None, 'street_address': 'Dongargaon, WARDHA ROAD, PARSODI, NH-7, Mancherial - Chandrapur - Nagpur Rd', 'city': 'Nagpur', 'zipcode': '441108', 'state': 'Maharashtra', 'country': 'IN'}",21.0323769,79.0518982,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4be70959b26a5:0xa262c05153df4c60,,5.0,1
71,Tata Power Charging Station,[],"Mahnadi Bhawan, Mantralaya, Public Parking, Sector 19, Atal Nagar-Nava Raipur, Chhattisgarh 492018","{'district': 'Sector 19', 'street_address': 'Mahnadi Bhawan, Mantralaya, Public Parking', 'city': 'Atal Nagar-Nava Raipur', 'zipcode': '492018', 'state': 'Chhattisgarh', 'country': 'IN'}",21.161282099999998,81.796672,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28c6beea14f267:0xd19a1b451584a099,,5.0,1
72,Electric Vehicle Charging Station,"[{'type': 'Unknown plug', 'total': 1, 'available': None, 'speed': 'Unknown'}]","RVWV+VJH, Sonepur, Odisha 767017","{'district': None, 'street_address': 'RVWV+VJH', 'city': 'Sonepur', 'zipcode': '767017', 'state': 'Odisha', 'country': 'IN'}",20.8471861,83.89413499999999,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a23e7d1a186cd03:0xf03706484e832bf2,,3.4,8
73,Tata Power Charging Station,"[{'type': 'CCS', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}, {'type': 'Type 2', 'total': 1, 'available': None, 'kw': 7, 'speed': 'Slow'}]","Aditya Tata Cars, C-6, Link Ring Rd, MIDC, Hingna, Nagpur, Maharashtra 440016","{'district': 'MIDC, Hingna', 'street_address': 'Aditya Tata Cars, C-6, Link Ring Rd', 'city': 'Nagpur', 'zipcode': '440016', 'state': 'Maharashtra', 'country': 'IN'}",21.134006,79.004375,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd4eabc77475dfd:0xcb62f94211636851,,,0
74,Ather Grid Charging Station,"[{'type': 'LECCS', 'total': 1, 'available': 1, 'kw': 1, 'speed': 'Slow'}]","Shop no 2, Dr Satyam Squre, Main Rd, near krishna talkies, Santhoshi Nagar, samat colony, Santoshi Nagar, Raipur, Chhattisgarh 492001","{'district': 'Santhoshi Nagar, samat colony, Santoshi Nagar', 'street_address': 'Shop no 2, Dr Satyam Squre, Main Rd, near krishna talkies', 'city': 'Raipur', 'zipcode': '492001', 'state': 'Chhattisgarh', 'country': 'IN'}",21.245987,81.62433,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3a28ddeadf3ee6ab:0x7e419feb17fa2bb7,,3.7,3
75,Tata Power Charging Station,"[{'type': 'CCS', 'total': 1, 'available': None, 'kw': 30, 'speed': 'Medium'}]","Plot no. 8, House no. 1591 Grampanchayat Salod Hirapur, Road, opp. Hanuman Mandir Lane, yavatmal, Wardha, 442001","{'district': None, 'street_address': 'Plot no. 8, House no. 1591 Grampanchayat Salod Hirapur, Road, opp. Hanuman Mandir Lane', 'city': 'yavatmal, Wardha', 'zipcode': '442001', 'state': 'Maharashtra', 'country': 'IN'}",20.712056999999998,78.563142,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x3bd478aa60496b67:0xc900241de67ed30a,,,0
